second,tpm
1031,552480
1032,565920
1033,520980
1034,523620
1035,554700
1036,531660
1037,560700
1038,495480
1039,557820
1040,546660
1041,521640
1042,570840
1043,527520
1044,573720
1045,560220
1046,526740
1047,536940
1048,564780
1049,568920
1050,527400
1051,570240
1052,552240
1053,558300
1054,560280
1055,524160
1056,547140
1057,563220
1058,569520
1059,536700
1060,578880
1061,565080
1062,547200
1063,559500
1064,539760
1065,557040
1066,590940
1067,536280
1068,576540
1069,543600
1070,574440
1071,532500
1072,540960
1073,585300
1074,580380
1075,560040
1076,560580
1077,593400
1078,570960
1079,575520
1080,573360
1081,546660
1082,594000
1083,567360
1084,568620
1085,585600
1086,579900
1087,584400
1088,541500
1089,577800
1090,593340
1091,566400
1092,581040
1093,579420
1094,585060
1095,599580
1096,574920
1097,555900
1098,581580
1099,594060
1100,557100
1101,614820
1102,574440
1103,597660
1104,555360
1105,555060
1106,587820
1107,587880
1108,558900
1109,582180
1110,564600
1111,576660
1112,555120
1113,548940
1114,581940
1115,577560
1116,599640
1117,549120
1118,600840
1119,581100
1120,577560
1121,523140
1122,571320
1123,545880
1124,571680
1125,572340
1126,605580
1127,577320
1128,583860
1129,533040
1130,580140
1131,632100
1132,595620
1133,629040
1134,588720
1135,631920
1136,620580
1137,601800
1138,617580
1139,595920
1140,627120
1141,614820
1142,629820
1143,608760
1144,619380
1145,586080
1146,604260
1147,642540
1148,604320
1149,614040
1150,630420
1151,613740
1152,597480
1153,591060
1154,610860
1155,612960
1156,603840
1157,609720
1158,615240
1159,603360
1160,558540
1161,614700
1162,617100
1163,600540
1164,608040
1165,615420
1166,624780
1167,615420
1168,586380
1169,620880
1170,604080
1171,624960
1172,646860
1173,613200
1174,617640
1175,591120
1176,598500
1177,621420
1178,619680
1179,596880
1180,615840
1181,642600
1182,620040
1183,598740
1184,593280
1185,624900
1186,609360
1187,635940
1188,634980
1189,624240
1190,616800
1191,617760
1192,627240
1193,622860
1194,634140
1195,636060
1196,649500
1197,625860
1198,568620
1199,645900
1200,634320
1201,638640
1202,615660
1203,646140
1204,618540
1205,617580
1206,606120
1207,614460
1208,632640
1209,633360
1210,614220
1211,625260
1212,607440
1213,589380
1214,620160
1215,619740
1216,623820
1217,618360
1218,644760
1219,611820
1220,595440
1221,593820
1222,608520
1223,611940
1224,616800
1225,606120
1226,628920
1227,575280
1228,559620
1229,520260
1230,521280
1231,538080
1232,508140
1233,548640
1234,608520
1235,595380
1236,580020
1237,578820
1238,611580
1239,610800
1240,598980
1241,619620
1242,607740
1243,620220
1244,566580
1245,584400
1246,621420
1247,618600
1248,611160
1249,596460
1250,618720
1251,609120
1252,579480
1253,583740
1254,612000
1255,605160
1256,590040
1257,611940
1258,617700
1259,605640
1260,616080
1261,592620
1262,595800
1263,619080
1264,602400
1265,613080
1266,594420
1267,601260
1268,579420
1269,603540
1270,595380
1271,598440
1272,598620
1273,611280
1274,604260
1275,589800
1276,585480
1277,625800
1278,602640
1279,604260
1280,588600
1281,608820
1282,599640
1283,612000
1284,586140
1285,609060
1286,601500
1287,609960
1288,598680
1289,615480
1290,592260
1291,594540
1292,583860
1293,614940
1294,594420
1295,604860
1296,617940
1297,602820
1298,582360
1299,604500
1300,599820
1301,620160
1302,620280
1303,614400
1304,618780
1305,613320
1306,597540
1307,603120
1308,601800
1309,617760
1310,613680
1311,610260
1312,620760
1313,587880
1314,613200
1315,616380
1316,588120
1317,615600
1318,613260
1319,605940
1320,617160
1321,588060
1322,591000
1323,614460
1324,618180
1325,618540
1326,606360
1327,610860
1328,585600
1329,564480
1330,543600
1331,594420
1332,501420
1333,559200
1334,485940
1335,469980
1336,481620
1337,479580
1338,465900
1339,441660
1340,497940
1341,502920
1342,510720
1343,553620
1344,520260
1345,529740
1346,492000
1347,535860
1348,540600
1349,542160
1350,514980
1351,548040
1352,510060
1353,538560
1354,524580
1355,495360
1356,524040
1357,544920
1358,511020
1359,548040
1360,528000
1361,547020
1362,549900
1363,537720
1364,522660
1365,542820
1366,564000
1367,557340
1368,527520
1369,543780
1370,547560
1371,571860
1372,507720
1373,545520
1374,565200
1375,585180
1376,519060
1377,569160
1378,558120
1379,558360
1380,537300
1381,538140
1382,537720
1383,575580
1384,534120
1385,532680
1386,588120
1387,547620
1388,550200
1389,545820
1390,555360
1391,584460
1392,538560
1393,577980
1394,550380
1395,583620
1396,574500
1397,484860
1398,595140
1399,566100
1400,561420
1401,579000
1402,583320
1403,568620
1404,596820
1405,549240
1406,554640
1407,568620
1408,573540
1409,570000
1410,550860
1411,576660
1412,597600
1413,556440
1414,562800
1415,571980
1416,579660
1417,567480
1418,592440
1419,589020
1420,584340
1421,561120
1422,579000
1423,590760
1424,601860
1425,616860
1426,599640
1427,640980
1428,594540
1429,601140
1430,599160
1431,598080
1432,604620
1433,623040
1434,591420
1435,620880
1436,580380
1437,610260
1438,618120
1439,595320
1440,618780
1441,608160
1442,598080
1443,602940
1444,590100
1445,556680
1446,555780
1447,577140
1448,601320
1449,586260
1450,564660
1451,589080
1452,612660
1453,607980
1454,577380
1455,604140
1456,625560
1457,609720
1458,617460
1459,569220
1460,613620
1461,622500
1462,595500
1463,613740
1464,628920
1465,609840
1466,602580
1467,602220
1468,610860
1469,602340
1470,586920
1471,625440
1472,604080
1473,615600
1474,607740
1475,613860
1476,598200
1477,598260
1478,568980
1479,600360
1480,596460
1481,545220
1482,571740
1483,544260
1484,613320
1485,597840
1486,582840
1487,590580
1488,585960
1489,584340
1490,547860
1491,573660
1492,581880
1493,577440
1494,567300
1495,590580
1496,575940
1497,570120
1498,579840
1499,578760
1500,582240
1501,546600
1502,552300
1503,579660
1504,581040
1505,581400
1506,544440
1507,532680
1508,572580
1509,570900
1510,560040
1511,558600
1512,580080
1513,573420
1514,528780
1515,553500
1516,561000
1517,570960
1518,526080
1519,570000
1520,571980
1521,533820
1522,532500
1523,542160
1524,543780
1525,564840
1526,530700
1527,571140
1528,527700
1529,575580
1530,535380
1531,500280
1532,534540
1533,519360
1534,576360
1535,518160
1536,561120
1537,540540
1538,528900
1539,514800
1540,497940
1541,552000
1542,579240
1543,523680
1544,539220
1545,538200
1546,511200
1547,536460
1548,494580
1549,506340
1550,533700
1551,539400
1552,497040
1553,541680
1554,538620
1555,528360
1556,483000
1557,600540
1558,615420
1559,616620
1560,601860
1561,595440
