timestamp,elapsed_sec,sum_next_o_id
2026-04-25 17:44:52,273,32708327
2026-04-25 17:44:53,274,32712441
2026-04-25 17:44:55,276,32716643
2026-04-25 17:44:56,277,32720827
2026-04-25 17:44:57,278,32724938
2026-04-25 17:44:58,279,32729189
2026-04-25 17:44:59,280,32733312
2026-04-25 17:45:00,281,32737470
2026-04-25 17:45:02,283,32741682
2026-04-25 17:45:03,284,32745850
2026-04-25 17:45:04,285,32750074
2026-04-25 17:45:05,286,32754285
2026-04-25 17:45:06,287,32758415
2026-04-25 17:45:07,288,32762627
2026-04-25 17:45:09,290,32766855
2026-04-25 17:45:10,291,32771058
2026-04-25 17:45:11,292,32775267
2026-04-25 17:45:12,293,32779434
2026-04-25 17:45:13,294,32783698
2026-04-25 17:45:14,295,32787839
2026-04-25 17:45:15,296,32792041
2026-04-25 17:45:17,298,32796195
2026-04-25 17:45:18,299,32800285
2026-04-25 17:45:19,300,32804430
2026-04-25 17:45:20,301,32808609
2026-04-25 17:45:21,302,32812714
2026-04-25 17:45:22,303,32816807
2026-04-25 17:45:23,304,32821023
2026-04-25 17:45:25,306,32825240
2026-04-25 17:45:26,307,32829524
2026-04-25 17:45:27,308,32833781
2026-04-25 17:45:28,309,32837898
2026-04-25 17:45:29,310,32842156
2026-04-25 17:45:30,311,32846307
2026-04-25 17:45:32,313,32850442
2026-04-25 17:45:33,314,32854606
2026-04-25 17:45:34,315,32858749
2026-04-25 17:45:35,316,32862994
2026-04-25 17:45:36,317,32867140
2026-04-25 17:45:37,318,32871391
2026-04-25 17:45:38,319,32875527
2026-04-25 17:45:40,321,32879731
2026-04-25 17:45:41,322,32883954
2026-04-25 17:45:42,323,32888009
2026-04-25 17:45:43,324,32892223
2026-04-25 17:45:44,325,32896538
2026-04-25 17:45:45,326,32900666
2026-04-25 17:45:47,328,32904850
2026-04-25 17:45:48,329,32908954
2026-04-25 17:45:49,330,32913095
2026-04-25 17:45:50,331,32917253
2026-04-25 17:45:51,332,32921555
2026-04-25 17:45:52,333,32925736
2026-04-25 17:45:53,334,32929933
2026-04-25 17:45:55,336,32934031
2026-04-25 17:45:56,337,32938123
2026-04-25 17:45:57,338,32942359
2026-04-25 17:45:58,339,32946529
2026-04-25 17:45:59,340,32950661
2026-04-25 17:46:00,341,32954835
2026-04-25 17:46:02,343,32958979
2026-04-25 17:46:03,344,32963170
2026-04-25 17:46:04,345,32967405
2026-04-25 17:46:05,346,32971567
2026-04-25 17:46:06,347,32975803
2026-04-25 17:46:07,348,32979915
2026-04-25 17:46:08,349,32984145
2026-04-25 17:46:10,351,32988310
2026-04-25 17:46:11,352,32992449
2026-04-25 17:46:12,353,32996644
2026-04-25 17:46:13,354,33000775
2026-04-25 17:46:14,355,33004966
2026-04-25 17:46:15,356,33009079
2026-04-25 17:46:17,358,33013262
2026-04-25 17:46:18,359,33017474
2026-04-25 17:46:19,360,33021651
2026-04-25 17:46:20,361,33025859
2026-04-25 17:46:21,362,33029980
2026-04-25 17:46:22,363,33034101
